Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
BackEnd,ca.dal.Maverick.board.controller,BoardController,1,0,5,5,18,5,0,0,0.0,0,3,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\board\controller\BoardController.java,11
BackEnd,ca.dal.Maverick.board.model,BoardModel,7,0,15,15,58,15,0,0,0.2,3,2,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\board\model\BoardModel.java,10
BackEnd,ca.dal.Maverick.board.model,BoardRequestModel,3,0,8,8,30,8,0,0,0.25,4,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\board\model\BoardRequestModel.java,3
BackEnd,ca.dal.Maverick.board.repository,BoardRepository,0,0,1,0,3,1,0,0,-1.0,2,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\board\repository\BoardRepository.java,9
BackEnd,ca.dal.Maverick.board.service,BoardService,1,0,5,5,39,9,0,0,0.0,3,3,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\board\service\BoardService.java,13
BackEnd,ca.dal.Maverick.config,AuthenticationFilter,1,0,2,1,11,2,0,0,0.0,0,1,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\config\AuthenticationFilter.java,14
BackEnd,ca.dal.Maverick.config,AuthenticationProviders,1,0,1,0,4,1,1,0,-1.0,2,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\config\AuthenticationProviders.java,6
BackEnd,ca.dal.Maverick.config,HttpConfigurer,1,0,2,2,9,2,0,0,0.0,0,1,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\config\HttpConfigurer.java,7
BackEnd,ca.dal.Maverick.config,SecurityConfiguration,1,0,2,2,10,2,0,0,1.0,0,1,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\config\SecurityConfiguration.java,15
BackEnd,ca.dal.Maverick.jwt,TokenService,5,0,7,7,83,10,0,1,0.2857142857142857,3,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\jwt\TokenService.java,20
BackEnd,ca.dal.Maverick,MaverickApplication,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\MaverickApplication.java,6
BackEnd,ca.dal.Maverick,MaverickApplicationTests,0,0,1,0,4,1,0,0,-1.0,0,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\test\java\ca\dal\Maverick\MaverickApplicationTests.java,6
BackEnd,ca.dal.Maverick.notifications,EmailController,1,0,1,1,6,1,0,0,0.0,0,1,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\notifications\EmailController.java,9
BackEnd,ca.dal.Maverick.notifications,EmailModel,3,0,8,8,30,8,0,0,0.25,1,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\notifications\EmailModel.java,3
BackEnd,ca.dal.Maverick.notifications,EmailService,2,0,3,2,49,8,0,0,0.0,1,3,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\notifications\EmailService.java,16
BackEnd,ca.dal.Maverick.tasks.controller,TasksController,1,0,13,13,42,13,0,0,0.0,0,2,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\tasks\controller\TasksController.java,13
BackEnd,ca.dal.Maverick.tasks.model,TaskModel,8,0,17,17,60,17,0,0,0.5294117647058824,2,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\tasks\model\TaskModel.java,9
BackEnd,ca.dal.Maverick.tasks.repository,TasksRepository,0,0,5,0,7,5,0,0,-1.0,1,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\tasks\repository\TasksRepository.java,10
BackEnd,ca.dal.Maverick.tasks.service,TasksService,3,0,15,15,98,23,0,0,0.0,2,4,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\tasks\service\TasksService.java,16
